Name,Category,Dosage Form,Strength,Manufacturer,Indication,Classification
Dextromet,Antiviral,Cream,317 mg,"Gilead Sciences, Inc.",Pain,Prescription
Amoxiphen,Antipyretic,Drops,387 mg,Sanofi S.A.,Fever,Over-the-Counter
Acetomycin,Antidiabetic,Capsule,18 mg,Sanofi S.A.,Depression,Prescription
Amoxiphen,Antiseptic,Drops,620 mg,Amgen Inc.,Pain,Prescription
Dextrophen,Antipyretic,Ointment,615 mg,Pfizer Inc.,Fungus,Over-the-Counter
Ibuprocillin,Analgesic,Injection,145 mg,"Gilead Sciences, Inc.",Wound,Prescription
Dextrostatin,Antibiotic,Capsule,878 mg,Novo Nordisk A/S,Virus,Over-the-Counter
Dextronazole,Antibiotic,Injection,50 mg,Amgen Inc.,Infection,Over-the-Counter
Dolophen,Antipyretic,Drops,939 mg,Roche Holding AG,Fever,Prescription
Amoximet,Antidiabetic,Injection,864 mg,Novartis AG,Virus,Prescription
Ibupronazole,Analgesic,Capsule,102 mg,Johnson & Johnson,Fungus,Prescription
Metomet,Antidepressant,Inhaler,101 mg,Biogen Inc.,Virus,Over-the-Counter
Amoximycin,Antiseptic,Syrup,524 mg,Pfizer Inc.,Wound,Over-the-Counter
Dolomycin,Antidiabetic,Syrup,921 mg,"Gilead Sciences, Inc.",Depression,Prescription
Acetomet,Antidiabetic,Tablet,279 mg,Johnson & Johnson,Depression,Over-the-Counter
Acetomycin,Antiseptic,Ointment,487 mg,Bristol-Myers Squibb Company,Fever,Over-the-Counter
Dolomet,Antifungal,Inhaler,873 mg,Eli Lilly and Company,Wound,Prescription
Claristatin,Antibiotic,Tablet,138 mg,Teva Pharmaceutical Industries Ltd.,Wound,Prescription
Metocillin,Antifungal,Drops,341 mg,Eli Lilly and Company,Pain,Over-the-Counter
Metoprofen,Antifungal,Syrup,707 mg,GlaxoSmithKline plc,Wound,Prescription
Dextromycin,Antidepressant,Capsule,438 mg,Bristol-Myers Squibb Company,Fungus,Prescription
Dolocillin,Antidepressant,Drops,369 mg,CSL Limited,Diabetes,Over-the-Counter
Clariprofen,Antidepressant,Injection,564 mg,Pfizer Inc.,Wound,Prescription
Ibuprovir,Antiseptic,Ointment,314 mg,CSL Limited,Infection,Prescription
Dextrocillin,Antidepressant,Inhaler,940 mg,Novartis AG,Fever,Over-the-Counter
Metocillin,Analgesic,Tablet,715 mg,Pfizer Inc.,Fungus,Prescription
Acetonazole,Antidiabetic,Capsule,607 mg,Biogen Inc.,Virus,Over-the-Counter
Claricillin,Antibiotic,Injection,564 mg,Boehringer Ingelheim GmbH,Fungus,Prescription
Dolocillin,Antidiabetic,Drops,840 mg,Eli Lilly and Company,Diabetes,Prescription
Dextromycin,Antipyretic,Drops,930 mg,Teva Pharmaceutical Industries Ltd.,Infection,Prescription
Doloprofen,Antibiotic,Capsule,967 mg,AbbVie Inc.,Fever,Over-the-Counter
Clarivir,Antidepressant,Drops,26 mg,AbbVie Inc.,Fungus,Prescription
Dextrophen,Antipyretic,Drops,316 mg,AbbVie Inc.,Fever,Over-the-Counter
Dolostatin,Antiseptic,Capsule,164 mg,Amgen Inc.,Pain,Prescription
Dolonazole,Analgesic,Drops,477 mg,"Gilead Sciences, Inc.",Pain,Prescription
Acetomet,Analgesic,Drops,501 mg,Pfizer Inc.,Infection,Over-the-Counter
Cefvir,Analgesic,Inhaler,959 mg,"Gilead Sciences, Inc.",Pain,Prescription
Metomycin,Antibiotic,Drops,124 mg,CSL Limited,Diabetes,Prescription
Cefcillin,Analgesic,Cream,720 mg,AbbVie Inc.,Wound,Prescription
Amoxivir,Antifungal,Syrup,396 mg,AbbVie Inc.,Fungus,Over-the-Counter
Cefphen,Analgesic,Ointment,226 mg,Eli Lilly and Company,Depression,Over-the-Counter
Clariphen,Antibiotic,Injection,988 mg,Amgen Inc.,Depression,Over-the-Counter
Cefmycin,Antibiotic,Capsule,776 mg,Eli Lilly and Company,Fever,Prescription
Cefmet,Antiviral,Injection,961 mg,AstraZeneca plc,Depression,Prescription
Dextronazole,Antipyretic,Inhaler,942 mg,CSL Limited,Fungus,Over-the-Counter
Metocillin,Antiseptic,Drops,699 mg,CSL Limited,Virus,Prescription
Dolostatin,Antibiotic,Injection,206 mg,Biogen Inc.,Depression,Prescription
Ibuprocillin,Antidepressant,Tablet,559 mg,Teva Pharmaceutical Industries Ltd.,Diabetes,Over-the-Counter
Dextronazole,Antifungal,Ointment,737 mg,Amgen Inc.,Pain,Over-the-Counter
Ibuprophen,Antiseptic,Ointment,224 mg,CSL Limited,Virus,Over-the-Counter
Dextrovir,Antifungal,Drops,872 mg,"Gilead Sciences, Inc.",Fungus,Prescription
Clarivir,Analgesic,Tablet,41 mg,AstraZeneca plc,Pain,Prescription
Dextrovir,Antiviral,Injection,678 mg,CSL Limited,Wound,Prescription
Metocillin,Antipyretic,Injection,637 mg,Roche Holding AG,Fever,Over-the-Counter
Amoxiphen,Antifungal,Injection,635 mg,GlaxoSmithKline plc,Wound,Over-the-Counter
Cefcillin,Antibiotic,Syrup,179 mg,Amgen Inc.,Depression,Prescription
Clarimycin,Antifungal,Cream,482 mg,Novartis AG,Diabetes,Over-the-Counter
Dolomycin,Antidiabetic,Syrup,772 mg,Johnson & Johnson,Wound,Prescription
Claristatin,Antiseptic,Syrup,645 mg,Boehringer Ingelheim GmbH,Infection,Prescription
Acetoprofen,Analgesic,Syrup,785 mg,Eli Lilly and Company,Wound,Prescription
Dolonazole,Antipyretic,Drops,213 mg,Roche Holding AG,Fever,Over-the-Counter
Acetonazole,Antipyretic,Cream,881 mg,Sanofi S.A.,Fungus,Over-the-Counter
Ibupromycin,Analgesic,Tablet,315 mg,Pfizer Inc.,Fungus,Prescription
Dolostatin,Antidepressant,Drops,379 mg,AstraZeneca plc,Fungus,Over-the-Counter
Metomycin,Antidepressant,Tablet,436 mg,"Merck & Co., Inc.",Pain,Over-the-Counter
Amoxistatin,Antiseptic,Cream,701 mg,Novo Nordisk A/S,Virus,Prescription
Dextronazole,Antipyretic,Cream,377 mg,Johnson & Johnson,Wound,Over-the-Counter
Clarivir,Antifungal,Drops,655 mg,"Gilead Sciences, Inc.",Diabetes,Over-the-Counter
Cefmet,Antidepressant,Ointment,367 mg,"Merck & Co., Inc.",Pain,Prescription
Dolovir,Antidiabetic,Drops,619 mg,GlaxoSmithKline plc,Diabetes,Prescription
Dolophen,Antifungal,Tablet,739 mg,Eli Lilly and Company,Wound,Over-the-Counter
Ibupromet,Antiseptic,Ointment,946 mg,Pfizer Inc.,Infection,Over-the-Counter
Amoxicillin,Antibiotic,Injection,244 mg,Roche Holding AG,Fever,Prescription
Amoxiprofen,Antibiotic,Injection,809 mg,Bristol-Myers Squibb Company,Infection,Prescription
Cefprofen,Antidepressant,Cream,128 mg,Pfizer Inc.,Wound,Over-the-Counter
Cefstatin,Antibiotic,Capsule,380 mg,Pfizer Inc.,Diabetes,Prescription
Acetocillin,Antipyretic,Cream,128 mg,AstraZeneca plc,Depression,Over-the-Counter
Acetostatin,Antidiabetic,Ointment,802 mg,CSL Limited,Fungus,Over-the-Counter
Claristatin,Antiseptic,Syrup,52 mg,Eli Lilly and Company,Pain,Over-the-Counter
Acetonazole,Antiviral,Tablet,14 mg,Johnson & Johnson,Virus,Prescription
Clarivir,Antidiabetic,Capsule,649 mg,Johnson & Johnson,Virus,Over-the-Counter
Dolomycin,Antifungal,Injection,903 mg,Pfizer Inc.,Depression,Over-the-Counter
Amoxiprofen,Antifungal,Drops,132 mg,Takeda Pharmaceutical Company Limited,Depression,Over-the-Counter
Amoxivir,Antidepressant,Syrup,690 mg,GlaxoSmithKline plc,Fungus,Prescription
Dextrostatin,Antifungal,Injection,838 mg,CSL Limited,Fever,Prescription
Amoxiprofen,Antiviral,Injection,428 mg,Novartis AG,Pain,Prescription
Ibupronazole,Antibiotic,Inhaler,183 mg,Novartis AG,Depression,Prescription
Amoxistatin,Antiseptic,Cream,303 mg,Novo Nordisk A/S,Fungus,Over-the-Counter
Clarivir,Antidepressant,Ointment,605 mg,Novartis AG,Diabetes,Over-the-Counter
Cefstatin,Antidiabetic,Capsule,479 mg,Amgen Inc.,Fever,Over-the-Counter
Metonazole,Antidiabetic,Inhaler,502 mg,Bayer AG,Diabetes,Over-the-Counter
Metocillin,Antiseptic,Tablet,314 mg,Bayer AG,Diabetes,Over-the-Counter
Metocillin,Antidiabetic,Injection,125 mg,Bristol-Myers Squibb Company,Infection,Over-the-Counter
Amoxinazole,Antiseptic,Capsule,156 mg,Biogen Inc.,Fever,Prescription
Ibuprocillin,Antidepressant,Ointment,934 mg,Sanofi S.A.,Virus,Prescription
Dolomycin,Analgesic,Capsule,367 mg,"Gilead Sciences, Inc.",Fungus,Prescription
Dextrostatin,Antipyretic,Ointment,237 mg,Takeda Pharmaceutical Company Limited,Depression,Prescription
Acetomet,Antifungal,Injection,421 mg,Sanofi S.A.,Depression,Over-the-Counter
Ibupromet,Antiviral,Injection,204 mg,"Gilead Sciences, Inc.",Fungus,Over-the-Counter
Acetophen,Antidiabetic,Injection,413 mg,Eli Lilly and Company,Wound,Over-the-Counter
Dolomycin,Antipyretic,Injection,530 mg,Sanofi S.A.,Fever,Prescription
Amoxivir,Antiseptic,Inhaler,44 mg,Novo Nordisk A/S,Wound,Over-the-Counter
Amoximet,Antiviral,Tablet,708 mg,GlaxoSmithKline plc,Wound,Over-the-Counter
Ibupronazole,Antibiotic,Inhaler,352 mg,Eli Lilly and Company,Pain,Over-the-Counter
Dextromycin,Analgesic,Ointment,296 mg,"Merck & Co., Inc.",Infection,Over-the-Counter
Dextrophen,Antiviral,Cream,903 mg,Takeda Pharmaceutical Company Limited,Virus,Prescription
Cefvir,Analgesic,Syrup,628 mg,"Merck & Co., Inc.",Fungus,Over-the-Counter
Acetomycin,Analgesic,Ointment,785 mg,"Merck & Co., Inc.",Fever,Prescription
Dolostatin,Antiviral,Drops,797 mg,Bristol-Myers Squibb Company,Pain,Prescription
Cefphen,Antipyretic,Capsule,299 mg,CSL Limited,Fungus,Prescription
Dextronazole,Antipyretic,Cream,730 mg,AstraZeneca plc,Fever,Prescription
Dolomycin,Antidiabetic,Inhaler,332 mg,Amgen Inc.,Fungus,Prescription
Dextronazole,Antiviral,Ointment,405 mg,CSL Limited,Wound,Prescription
Dolophen,Analgesic,Cream,577 mg,Biogen Inc.,Fungus,Over-the-Counter
Acetocillin,Antidepressant,Drops,890 mg,Johnson & Johnson,Pain,Over-the-Counter
Metonazole,Antidepressant,Cream,48 mg,"Merck & Co., Inc.",Diabetes,Over-the-Counter
Dextrophen,Antibiotic,Ointment,493 mg,GlaxoSmithKline plc,Fungus,Prescription
Amoximet,Antifungal,Drops,807 mg,Takeda Pharmaceutical Company Limited,Wound,Prescription
Acetophen,Antidepressant,Capsule,114 mg,Bristol-Myers Squibb Company,Diabetes,Over-the-Counter
Cefphen,Antidiabetic,Capsule,210 mg,Amgen Inc.,Diabetes,Over-the-Counter
Cefcillin,Antidiabetic,Inhaler,497 mg,Roche Holding AG,Diabetes,Over-the-Counter
Dextrocillin,Analgesic,Capsule,782 mg,Biogen Inc.,Fungus,Prescription
Dolovir,Analgesic,Syrup,338 mg,"Gilead Sciences, Inc.",Depression,Prescription
Acetovir,Antibiotic,Drops,515 mg,Novartis AG,Depression,Over-the-Counter
Clarivir,Analgesic,Drops,330 mg,Roche Holding AG,Virus,Prescription
Amoxiphen,Antidiabetic,Tablet,714 mg,Takeda Pharmaceutical Company Limited,Pain,Over-the-Counter
Amoxicillin,Analgesic,Cream,276 mg,Pfizer Inc.,Wound,Prescription
Clarivir,Antifungal,Capsule,946 mg,Novo Nordisk A/S,Fever,Over-the-Counter
Metoprofen,Antibiotic,Injection,982 mg,"Gilead Sciences, Inc.",Fungus,Over-the-Counter
Acetoprofen,Antiseptic,Injection,342 mg,Bristol-Myers Squibb Company,Infection,Over-the-Counter
Acetocillin,Antibiotic,Syrup,297 mg,Bayer AG,Wound,Over-the-Counter
Clarimet,Antiseptic,Tablet,970 mg,Biogen Inc.,Diabetes,Over-the-Counter
Acetomet,Analgesic,Capsule,76 mg,Pfizer Inc.,Wound,Over-the-Counter
Dextromet,Analgesic,Cream,380 mg,Boehringer Ingelheim GmbH,Fever,Over-the-Counter
Dolocillin,Analgesic,Drops,880 mg,Novartis AG,Fever,Over-the-Counter
Ibuprostatin,Antibiotic,Tablet,670 mg,Roche Holding AG,Pain,Prescription
Doloprofen,Antibiotic,Capsule,119 mg,Bayer AG,Diabetes,Prescription
Amoxiprofen,Antiseptic,Syrup,163 mg,"Merck & Co., Inc.",Diabetes,Prescription
Acetoprofen,Antiseptic,Drops,740 mg,Takeda Pharmaceutical Company Limited,Infection,Over-the-Counter
Metomycin,Antipyretic,Ointment,178 mg,Sanofi S.A.,Virus,Over-the-Counter
Amoxinazole,Antidepressant,Drops,269 mg,Amgen Inc.,Virus,Over-the-Counter
Clariprofen,Analgesic,Tablet,161 mg,GlaxoSmithKline plc,Depression,Over-the-Counter
Dolocillin,Antidiabetic,Inhaler,912 mg,Amgen Inc.,Infection,Over-the-Counter
Dextrocillin,Analgesic,Injection,961 mg,Biogen Inc.,Depression,Over-the-Counter
Amoxistatin,Antiseptic,Ointment,39 mg,Bristol-Myers Squibb Company,Wound,Over-the-Counter
Amoxiphen,Antiviral,Drops,445 mg,"Merck & Co., Inc.",Fever,Prescription
Dextrocillin,Antifungal,Drops,393 mg,Johnson & Johnson,Fever,Over-the-Counter
Acetonazole,Antipyretic,Injection,945 mg,Amgen Inc.,Infection,Prescription
Amoximet,Antiviral,Capsule,191 mg,Amgen Inc.,Diabetes,Prescription
Amoximet,Antibiotic,Ointment,938 mg,Bristol-Myers Squibb Company,Infection,Prescription
Acetonazole,Antiviral,Inhaler,720 mg,Bristol-Myers Squibb Company,Diabetes,Over-the-Counter
Amoxicillin,Antidepressant,Cream,834 mg,CSL Limited,Fungus,Over-the-Counter
Dextromycin,Antiviral,Cream,243 mg,Bristol-Myers Squibb Company,Infection,Over-the-Counter
Claricillin,Antidepressant,Tablet,878 mg,Takeda Pharmaceutical Company Limited,Pain,Over-the-Counter
Ibuproprofen,Antidepressant,Drops,96 mg,Biogen Inc.,Depression,Prescription
Amoxivir,Analgesic,Injection,410 mg,Pfizer Inc.,Virus,Prescription
Dolostatin,Antiviral,Drops,944 mg,Roche Holding AG,Virus,Prescription
Dolovir,Antiseptic,Tablet,400 mg,AstraZeneca plc,Pain,Prescription
Cefprofen,Antidepressant,Syrup,267 mg,Sanofi S.A.,Virus,Prescription
Acetostatin,Antidiabetic,Injection,993 mg,"Merck & Co., Inc.",Fever,Over-the-Counter
Acetovir,Analgesic,Tablet,919 mg,Novo Nordisk A/S,Depression,Prescription
Acetomycin,Antibiotic,Injection,751 mg,CSL Limited,Fever,Prescription
Cefmycin,Antiseptic,Cream,707 mg,Amgen Inc.,Fungus,Prescription
Clarinazole,Antibiotic,Injection,530 mg,Bristol-Myers Squibb Company,Depression,Over-the-Counter
Metocillin,Antiseptic,Capsule,953 mg,GlaxoSmithKline plc,Infection,Over-the-Counter
Acetomycin,Antipyretic,Ointment,760 mg,Boehringer Ingelheim GmbH,Virus,Over-the-Counter
Metonazole,Antidepressant,Tablet,942 mg,Boehringer Ingelheim GmbH,Depression,Prescription
Cefstatin,Antiseptic,Injection,495 mg,Eli Lilly and Company,Virus,Prescription
Ibupromycin,Antiviral,Cream,103 mg,AstraZeneca plc,Fever,Over-the-Counter
Clariprofen,Antipyretic,Tablet,628 mg,Novartis AG,Fever,Prescription
Dextromet,Antifungal,Syrup,458 mg,Johnson & Johnson,Fungus,Prescription
Cefstatin,Antiseptic,Injection,562 mg,Boehringer Ingelheim GmbH,Infection,Prescription
Metoprofen,Analgesic,Capsule,510 mg,Pfizer Inc.,Wound,Over-the-Counter
Ibuproprofen,Antidepressant,Ointment,139 mg,Bristol-Myers Squibb Company,Diabetes,Prescription
Cefnazole,Analgesic,Tablet,993 mg,"Gilead Sciences, Inc.",Diabetes,Prescription
Acetophen,Antidiabetic,Inhaler,149 mg,Novartis AG,Depression,Over-the-Counter
Clarivir,Antidiabetic,Cream,67 mg,CSL Limited,Fungus,Over-the-Counter
Dolomet,Analgesic,Cream,593 mg,Novartis AG,Wound,Prescription
Cefphen,Antibiotic,Capsule,938 mg,Takeda Pharmaceutical Company Limited,Depression,Prescription
Ibupronazole,Antiviral,Cream,885 mg,Bayer AG,Infection,Over-the-Counter
Metovir,Antipyretic,Tablet,689 mg,AstraZeneca plc,Depression,Over-the-Counter
Doloprofen,Antidepressant,Tablet,267 mg,AstraZeneca plc,Pain,Over-the-Counter
Amoxinazole,Analgesic,Syrup,640 mg,Amgen Inc.,Fever,Prescription
Metocillin,Analgesic,Injection,894 mg,Novo Nordisk A/S,Virus,Over-the-Counter
Clariprofen,Antidiabetic,Tablet,944 mg,Biogen Inc.,Fever,Over-the-Counter
Cefcillin,Antibiotic,Inhaler,430 mg,Novo Nordisk A/S,Infection,Prescription
Clarimet,Analgesic,Cream,109 mg,Pfizer Inc.,Fever,Prescription
Clariphen,Antiseptic,Injection,757 mg,Pfizer Inc.,Depression,Prescription
Dolonazole,Antibiotic,Syrup,616 mg,Pfizer Inc.,Virus,Over-the-Counter
Acetophen,Antifungal,Ointment,110 mg,"Gilead Sciences, Inc.",Virus,Prescription
Metostatin,Antibiotic,Injection,347 mg,Amgen Inc.,Depression,Prescription
Acetovir,Antidiabetic,Capsule,192 mg,Sanofi S.A.,Fever,Prescription
Ibuprocillin,Antidepressant,Ointment,723 mg,Amgen Inc.,Fever,Over-the-Counter
Acetomycin,Antipyretic,Inhaler,86 mg,Sanofi S.A.,Infection,Over-the-Counter
Cefvir,Antibiotic,Cream,640 mg,AstraZeneca plc,Virus,Over-the-Counter
Amoxivir,Antidiabetic,Inhaler,134 mg,Teva Pharmaceutical Industries Ltd.,Depression,Over-the-Counter
Acetocillin,Antidiabetic,Syrup,495 mg,"Merck & Co., Inc.",Infection,Over-the-Counter
Cefprofen,Antiviral,Capsule,119 mg,Novo Nordisk A/S,Wound,Over-the-Counter
Dolophen,Antifungal,Inhaler,443 mg,Roche Holding AG,Pain,Prescription
Ibupromycin,Antidepressant,Capsule,228 mg,"Gilead Sciences, Inc.",Depression,Over-the-Counter
Cefmycin,Antiseptic,Drops,411 mg,Novo Nordisk A/S,Fever,Over-the-Counter
Dextronazole,Analgesic,Cream,156 mg,Johnson & Johnson,Fever,Over-the-Counter
Dextrostatin,Antibiotic,Inhaler,936 mg,Johnson & Johnson,Fungus,Prescription
Doloprofen,Antidiabetic,Ointment,845 mg,CSL Limited,Pain,Prescription
Dolocillin,Antiviral,Ointment,708 mg,GlaxoSmithKline plc,Virus,Over-the-Counter
Cefmet,Antifungal,Syrup,796 mg,GlaxoSmithKline plc,Pain,Over-the-Counter
Cefphen,Analgesic,Inhaler,741 mg,Roche Holding AG,Wound,Over-the-Counter
Cefmet,Antiseptic,Ointment,292 mg,AstraZeneca plc,Infection,Prescription
Ibuprovir,Antiviral,Ointment,175 mg,Bayer AG,Infection,Over-the-Counter
Cefvir,Antidepressant,Inhaler,922 mg,Amgen Inc.,Depression,Over-the-Counter
Acetostatin,Antibiotic,Drops,973 mg,Pfizer Inc.,Depression,Prescription
Claricillin,Antidiabetic,Tablet,817 mg,Bayer AG,Depression,Over-the-Counter
Clariprofen,Antifungal,Injection,295 mg,Sanofi S.A.,Fever,Prescription
Metomet,Antiseptic,Injection,518 mg,"Merck & Co., Inc.",Depression,Prescription
Acetovir,Analgesic,Syrup,298 mg,"Merck & Co., Inc.",Diabetes,Prescription
Ibuprostatin,Antiseptic,Injection,293 mg,Sanofi S.A.,Infection,Prescription
Dolomycin,Antifungal,Tablet,66 mg,AstraZeneca plc,Depression,Prescription
Metophen,Antiviral,Capsule,403 mg,Johnson & Johnson,Fever,Prescription
Ibuproprofen,Antiviral,Syrup,976 mg,"Gilead Sciences, Inc.",Fever,Prescription
Amoximet,Antidepressant,Inhaler,735 mg,AbbVie Inc.,Virus,Over-the-Counter
Amoximet,Antiviral,Ointment,204 mg,Eli Lilly and Company,Wound,Over-the-Counter
Ibupromycin,Analgesic,Drops,562 mg,Takeda Pharmaceutical Company Limited,Wound,Prescription
Ibuprostatin,Antiseptic,Inhaler,598 mg,Teva Pharmaceutical Industries Ltd.,Fever,Over-the-Counter
Dextrovir,Antipyretic,Tablet,92 mg,Novo Nordisk A/S,Depression,Prescription
Ibupromycin,Antipyretic,Drops,244 mg,"Merck & Co., Inc.",Depression,Prescription
Ibupromycin,Antiviral,Inhaler,705 mg,Takeda Pharmaceutical Company Limited,Infection,Over-the-Counter
Acetocillin,Analgesic,Syrup,420 mg,"Merck & Co., Inc.",Pain,Over-the-Counter
Claricillin,Antibiotic,Cream,303 mg,Amgen Inc.,Wound,Over-the-Counter
Ibuprophen,Antidepressant,Inhaler,497 mg,Boehringer Ingelheim GmbH,Virus,Prescription
Cefnazole,Antibiotic,Inhaler,917 mg,AstraZeneca plc,Diabetes,Prescription
Ibuprovir,Antipyretic,Injection,988 mg,Novo Nordisk A/S,Diabetes,Prescription
Clariphen,Antibiotic,Tablet,118 mg,CSL Limited,Pain,Over-the-Counter
Cefphen,Antiseptic,Syrup,51 mg,Teva Pharmaceutical Industries Ltd.,Fever,Prescription
Amoxivir,Antidepressant,Cream,635 mg,Bayer AG,Pain,Prescription
Metomet,Antidepressant,Tablet,585 mg,GlaxoSmithKline plc,Depression,Prescription
Cefmycin,Antidepressant,Capsule,490 mg,Roche Holding AG,Wound,Over-the-Counter
Acetophen,Antipyretic,Syrup,900 mg,Sanofi S.A.,Pain,Prescription
Amoximycin,Antipyretic,Tablet,417 mg,Johnson & Johnson,Virus,Over-the-Counter
Acetonazole,Analgesic,Syrup,249 mg,Bristol-Myers Squibb Company,Wound,Prescription
Metoprofen,Antidiabetic,Capsule,666 mg,GlaxoSmithKline plc,Pain,Prescription
Clarinazole,Antifungal,Capsule,833 mg,GlaxoSmithKline plc,Depression,Over-the-Counter
Acetonazole,Antibiotic,Ointment,440 mg,Roche Holding AG,Fungus,Prescription
Clarivir,Antiviral,Drops,487 mg,CSL Limited,Wound,Over-the-Counter
Metonazole,Antipyretic,Tablet,376 mg,GlaxoSmithKline plc,Infection,Over-the-Counter
Dolomycin,Analgesic,Syrup,135 mg,Eli Lilly and Company,Fever,Over-the-Counter
Acetocillin,Antiviral,Ointment,479 mg,AstraZeneca plc,Diabetes,Over-the-Counter
Dolonazole,Antiseptic,Drops,754 mg,Sanofi S.A.,Fever,Over-the-Counter
Ibupromycin,Analgesic,Tablet,700 mg,GlaxoSmithKline plc,Pain,Prescription
Acetonazole,Antiviral,Tablet,122 mg,Pfizer Inc.,Depression,Over-the-Counter
Clariphen,Antiviral,Drops,861 mg,AstraZeneca plc,Fever,Prescription
Metovir,Analgesic,Tablet,379 mg,Pfizer Inc.,Fungus,Over-the-Counter
Acetomycin,Antiseptic,Syrup,419 mg,Novo Nordisk A/S,Pain,Prescription
Acetophen,Analgesic,Drops,125 mg,Novartis AG,Infection,Over-the-Counter
Acetovir,Analgesic,Cream,787 mg,Sanofi S.A.,Pain,Prescription
Dextrocillin,Analgesic,Ointment,829 mg,Novartis AG,Depression,Prescription
Ibuprostatin,Antidiabetic,Syrup,628 mg,AbbVie Inc.,Wound,Over-the-Counter
Amoximycin,Antidepressant,Injection,586 mg,Pfizer Inc.,Pain,Prescription
Acetocillin,Antibiotic,Tablet,653 mg,"Gilead Sciences, Inc.",Depression,Prescription
Acetomycin,Analgesic,Syrup,365 mg,AstraZeneca plc,Diabetes,Prescription
Amoxinazole,Antiviral,Syrup,289 mg,Bristol-Myers Squibb Company,Fungus,Over-the-Counter
Clarinazole,Antibiotic,Ointment,170 mg,GlaxoSmithKline plc,Fever,Over-the-Counter
Cefmycin,Analgesic,Tablet,513 mg,Johnson & Johnson,Diabetes,Prescription
Cefmycin,Antiseptic,Capsule,241 mg,Amgen Inc.,Fever,Over-the-Counter
Metomet,Antipyretic,Capsule,826 mg,Eli Lilly and Company,Virus,Prescription
Clariphen,Antidiabetic,Capsule,580 mg,Pfizer Inc.,Wound,Prescription
Acetomet,Antifungal,Syrup,26 mg,Bristol-Myers Squibb Company,Infection,Over-the-Counter
Amoxistatin,Antifungal,Cream,478 mg,AbbVie Inc.,Fever,Prescription
Metostatin,Antipyretic,Syrup,727 mg,AbbVie Inc.,Depression,Over-the-Counter
Acetomet,Antidepressant,Capsule,575 mg,Eli Lilly and Company,Pain,Prescription
Dolostatin,Antipyretic,Syrup,972 mg,Boehringer Ingelheim GmbH,Fungus,Over-the-Counter
Metomycin,Antiseptic,Capsule,492 mg,AstraZeneca plc,Wound,Over-the-Counter
Amoxinazole,Antibiotic,Injection,733 mg,Roche Holding AG,Wound,Prescription
Cefmet,Analgesic,Cream,836 mg,Sanofi S.A.,Virus,Prescription
Claricillin,Antidepressant,Tablet,674 mg,Johnson & Johnson,Pain,Over-the-Counter
Amoxiprofen,Analgesic,Capsule,55 mg,Roche Holding AG,Infection,Prescription
Metomycin,Antidepressant,Ointment,747 mg,Takeda Pharmaceutical Company Limited,Fever,Over-the-Counter
Amoximet,Antifungal,Cream,966 mg,Pfizer Inc.,Wound,Prescription
Acetomycin,Antibiotic,Capsule,462 mg,AbbVie Inc.,Depression,Prescription
Dolophen,Antidepressant,Drops,93 mg,Bristol-Myers Squibb Company,Fever,Over-the-Counter
Metovir,Antiviral,Capsule,708 mg,Boehringer Ingelheim GmbH,Diabetes,Prescription
Cefcillin,Antiseptic,Drops,709 mg,Teva Pharmaceutical Industries Ltd.,Infection,Prescription
Dolostatin,Antidepressant,Tablet,451 mg,Boehringer Ingelheim GmbH,Virus,Prescription
Dolomycin,Antiviral,Inhaler,660 mg,Johnson & Johnson,Depression,Over-the-Counter
Metostatin,Antifungal,Cream,333 mg,Bayer AG,Fever,Over-the-Counter
Clarivir,Antiseptic,Cream,755 mg,Amgen Inc.,Virus,Prescription
Ibuproprofen,Antidepressant,Injection,298 mg,Pfizer Inc.,Pain,Prescription
Dolovir,Antifungal,Inhaler,614 mg,Roche Holding AG,Wound,Prescription
Amoximycin,Antidiabetic,Syrup,463 mg,Sanofi S.A.,Diabetes,Over-the-Counter
Dextrostatin,Antidiabetic,Syrup,802 mg,AbbVie Inc.,Wound,Prescription
Metonazole,Antidepressant,Injection,913 mg,Sanofi S.A.,Infection,Prescription
Dextromycin,Antidepressant,Tablet,476 mg,Bayer AG,Infection,Over-the-Counter
Clarivir,Antiviral,Tablet,978 mg,Amgen Inc.,Infection,Prescription
Metocillin,Antidepressant,Ointment,655 mg,Bayer AG,Diabetes,Prescription
Dolophen,Antipyretic,Capsule,344 mg,"Gilead Sciences, Inc.",Fungus,Over-the-Counter
Metomycin,Antiseptic,Capsule,316 mg,Teva Pharmaceutical Industries Ltd.,Infection,Over-the-Counter
Ibuproprofen,Antifungal,Drops,487 mg,"Merck & Co., Inc.",Depression,Prescription
Acetocillin,Antipyretic,Drops,748 mg,"Gilead Sciences, Inc.",Diabetes,Prescription
Amoxistatin,Antidiabetic,Inhaler,716 mg,Bristol-Myers Squibb Company,Fungus,Prescription
Clariprofen,Analgesic,Inhaler,435 mg,Teva Pharmaceutical Industries Ltd.,Infection,Prescription
Acetoprofen,Antipyretic,Capsule,133 mg,AbbVie Inc.,Wound,Over-the-Counter
Cefnazole,Antiseptic,Inhaler,475 mg,Sanofi S.A.,Infection,Prescription
Clarimycin,Antifungal,Ointment,848 mg,Sanofi S.A.,Fever,Over-the-Counter
Metophen,Antidepressant,Tablet,542 mg,Takeda Pharmaceutical Company Limited,Virus,Over-the-Counter
Dolomycin,Antidepressant,Tablet,299 mg,Boehringer Ingelheim GmbH,Infection,Over-the-Counter
